Date_of_publication,Municipality_name,Total_reported,Deceased
2020-05-06,Capelle aan den IJssel,0,0
2020-05-07,Capelle aan den IJssel,4,2
2020-05-08,Capelle aan den IJssel,1,1
2020-05-09,Capelle aan den IJssel,0,0
2020-05-10,Capelle aan den IJssel,2,0
2020-05-11,Capelle aan den IJssel,1,0
2020-05-12,Capelle aan den IJssel,3,0
2020-05-13,Capelle aan den IJssel,4,0
2020-05-14,Capelle aan den IJssel,0,0
2020-05-15,Capelle aan den IJssel,0,0
2020-05-16,Capelle aan den IJssel,2,0
2020-05-17,Capelle aan den IJssel,0,0
2020-05-18,Capelle aan den IJssel,3,0
2020-05-19,Capelle aan den IJssel,0,0
2020-05-20,Capelle aan den IJssel,0,0
2020-05-21,Capelle aan den IJssel,2,0
2020-05-22,Capelle aan den IJssel,1,0
2020-05-23,Capelle aan den IJssel,3,1
2020-05-24,Capelle aan den IJssel,0,0
2020-05-25,Capelle aan den IJssel,1,0
2020-05-26,Capelle aan den IJssel,0,0
2020-05-27,Capelle aan den IJssel,0,0
2020-05-28,Capelle aan den IJssel,3,0
2020-05-29,Capelle aan den IJssel,0,0
2020-05-30,Capelle aan den IJssel,0,0
2020-05-31,Capelle aan den IJssel,0,0
2020-05-01,Delft,1,0
2020-05-02,Delft,1,0
2020-05-03,Delft,1,0
2020-05-04,Delft,1,0
2020-05-05,Delft,1,0
2020-05-06,Delft,4,0
2020-05-07,Delft,1,1
2020-05-08,Delft,2,1
2020-05-09,Delft,1,1
2020-05-10,Delft,1,0
2020-05-11,Delft,0,0
2020-05-12,Delft,0,0
2020-05-13,Delft,1,0
2020-05-14,Delft,0,0
2020-05-15,Delft,2,0
2020-05-16,Delft,0,0
2020-05-17,Delft,0,0
2020-05-18,Delft,0,0
2020-05-19,Delft,1,0
2020-05-20,Delft,0,0
2020-05-21,Delft,0,0
2020-05-22,Delft,0,0
2020-05-23,Delft,0,0
2020-05-24,Delft,0,0
2020-05-25,Delft,0,0
2020-05-26,Delft,0,0
2020-05-27,Delft,0,0
2020-05-28,Delft,0,0
2020-05-29,Delft,0,0
2020-05-30,Delft,0,0
2020-05-31,Delft,1,0
2020-05-01,Dordrecht,2,0
2020-05-02,Dordrecht,0,0
2020-05-03,Dordrecht,1,0
2020-05-04,Dordrecht,6,0
2020-05-05,Dordrecht,3,2
2020-05-06,Dordrecht,4,0
2020-05-07,Dordrecht,10,0
2020-05-08,Dordrecht,8,0
2020-05-09,Dordrecht,8,1
2020-05-10,Dordrecht,14,0
2020-05-11,Dordrecht,9,0
2020-05-12,Dordrecht,4,2
2020-05-13,Dordrecht,13,1
2020-05-14,Dordrecht,30,0
2020-05-15,Dordrecht,6,0
2020-05-16,Dordrecht,1,1
2020-05-17,Dordrecht,6,0
2020-05-18,Dordrecht,9,0
2020-05-19,Dordrecht,4,0
2020-05-20,Dordrecht,21,3
2020-05-21,Dordrecht,14,2
2020-05-22,Dordrecht,7,0
2020-05-23,Dordrecht,1,4
2020-05-24,Dordrecht,6,2
2020-05-25,Dordrecht,4,0
2020-05-26,Dordrecht,3,6
2020-05-27,Dordrecht,21,0
2020-05-28,Dordrecht,2,2
2020-05-29,Dordrecht,7,2
2020-05-30,Dordrecht,0,0
2020-05-31,Dordrecht,3,0
2020-05-01,Goeree-Overflakkee,1,1
2020-05-02,Goeree-Overflakkee,0,0
2020-05-03,Goeree-Overflakkee,1,0
2020-05-04,Goeree-Overflakkee,0,0
2020-05-05,Goeree-Overflakkee,1,0
2020-05-06,Goeree-Overflakkee,0,0
2020-05-07,Goeree-Overflakkee,4,1
2020-05-08,Goeree-Overflakkee,0,1
2020-05-09,Goeree-Overflakkee,0,1
2020-05-10,Goeree-Overflakkee,0,0
2020-05-11,Goeree-Overflakkee,0,0
2020-05-12,Goeree-Overflakkee,1,0
2020-05-13,Goeree-Overflakkee,0,0
2020-05-14,Goeree-Overflakkee,0,0
2020-05-15,Goeree-Overflakkee,0,0
2020-05-16,Goeree-Overflakkee,3,0
2020-05-17,Goeree-Overflakkee,0,0
2020-05-18,Goeree-Overflakkee,0,0
2020-05-19,Goeree-Overflakkee,0,0
2020-05-20,Goeree-Overflakkee,1,0
2020-05-21,Goeree-Overflakkee,0,0
2020-05-22,Goeree-Overflakkee,2,0
2020-05-23,Goeree-Overflakkee,0,0
2020-05-24,Goeree-Overflakkee,1,0
2020-05-25,Goeree-Overflakkee,0,0
2020-05-26,Goeree-Overflakkee,1,0
2020-05-27,Goeree-Overflakkee,0,0
2020-05-28,Goeree-Overflakkee,0,0
2020-05-29,Goeree-Overflakkee,0,0
2020-05-30,Goeree-Overflakkee,0,0
2020-05-31,Goeree-Overflakkee,0,0
2020-05-01,Gorinchem,2,0
2020-05-02,Gorinchem,1,0
2020-05-03,Gorinchem,0,0
2020-05-04,Gorinchem,1,0
2020-05-05,Gorinchem,0,0
2020-05-06,Gorinchem,0,0
2020-05-07,Gorinchem,0,0
2020-05-08,Gorinchem,0,0
2020-05-09,Gorinchem,2,0
2020-05-10,Gorinchem,0,0
2020-05-11,Gorinchem,1,0
2020-05-12,Gorinchem,0,0
2020-05-13,Gorinchem,1,0
2020-05-14,Gorinchem,0,0
