Date_of_publication,Municipality_name,Total_reported,Deceased
2020-12-07,Ridderkerk,36,0
2020-12-07,Rotterdam,338,0
2020-12-07,Rijswijk,13,0
2020-12-07,Schiedam,35,0
2020-12-07,Sliedrecht,26,0
2020-12-07,Albrandswaard,16,0
2020-12-07,Westvoorne,4,0
2020-12-07,Vlaardingen,29,0
2020-12-07,Voorschoten,15,0
2020-12-07,Waddinxveen,22,0
2020-12-07,Wassenaar,11,0
2020-12-07,Zoetermeer,46,0
2020-12-07,Zoeterwoude,5,0
2020-12-07,Zwijndrecht,19,0
2020-12-07,Teylingen,10,0
2020-12-07,Lansingerland,33,0
2020-12-07,Westland,60,0
2020-12-07,Midden-Delfland,9,0
2020-12-07,Kaag en Braassem,11,0
2020-12-07,Zuidplas,20,0
2020-12-07,Bodegraven-Reeuwijk,16,0
2020-12-07,Leidschendam-Voorburg,21,0
2020-12-07,Goeree-Overflakkee,21,0
2020-12-07,Pijnacker-Nootdorp,26,0
2020-12-07,Nissewaard,43,0
2020-12-07,Krimpenerwaard,20,0
2020-12-07,Hoeksche Waard,23,0
2020-12-07,Molenlanden,17,0
2020-12-08,Alblasserdam,7,0
2020-12-08,Alphen aan den Rijn,44,0
2020-12-08,Barendrecht,6,0
2020-12-08,Brielle,4,0
2020-12-08,Capelle aan den IJssel,17,0
2020-12-08,Delft,43,0
2020-12-08,Dordrecht,62,0
2020-12-08,Gorinchem,21,0
2020-12-08,Gouda,26,0
2020-12-08,'s-Gravenhage,216,2
2020-12-08,Hardinxveld-Giessendam,19,0
2020-12-08,Hellevoetsluis,9,0
2020-12-08,Hendrik-Ido-Ambacht,11,0
2020-12-08,Hillegom,5,0
2020-12-08,Katwijk,18,0
2020-12-08,Krimpen aan den IJssel,8,0
2020-12-08,Leiden,30,0
2020-12-08,Leiderdorp,10,0
2020-12-08,Lisse,8,0
2020-12-08,Maassluis,14,1
2020-12-08,Nieuwkoop,17,0
2020-12-08,Noordwijk,11,0
2020-12-08,Oegstgeest,10,0
2020-12-08,Papendrecht,15,0
2020-12-08,Ridderkerk,12,1
2020-12-08,Rotterdam,158,1
2020-12-08,Rijswijk,24,1
2020-12-08,Schiedam,23,1
2020-12-08,Sliedrecht,24,0
2020-12-08,Albrandswaard,8,0
2020-12-08,Westvoorne,2,0
2020-12-08,Vlaardingen,27,0
2020-12-08,Voorschoten,9,0
2020-12-08,Waddinxveen,11,0
2020-12-08,Wassenaar,7,0
2020-12-08,Zoetermeer,54,0
2020-12-08,Zoeterwoude,0,0
2020-12-08,Zwijndrecht,17,0
2020-12-08,Teylingen,12,0
2020-12-08,Lansingerland,38,0
2020-12-08,Westland,61,3
2020-12-08,Midden-Delfland,6,0
2020-12-08,Kaag en Braassem,8,0
2020-12-08,Zuidplas,13,0
2020-12-08,Bodegraven-Reeuwijk,15,0
2020-12-08,Leidschendam-Voorburg,39,2
2020-12-08,Goeree-Overflakkee,13,0
2020-12-08,Pijnacker-Nootdorp,34,0
2020-12-08,Nissewaard,26,0
2020-12-08,Krimpenerwaard,15,1
2020-12-08,Hoeksche Waard,27,0
2020-12-08,Molenlanden,11,0
2020-12-09,Alblasserdam,4,0
2020-12-09,Alphen aan den Rijn,53,1
2020-12-09,Barendrecht,16,0
2020-12-09,Brielle,8,0
2020-12-09,Capelle aan den IJssel,19,1
2020-12-09,Delft,45,1
2020-12-09,Dordrecht,59,1
2020-12-09,Gorinchem,25,1
2020-12-09,Gouda,23,0
2020-12-09,'s-Gravenhage,140,1
2020-12-09,Hardinxveld-Giessendam,5,0
2020-12-09,Hellevoetsluis,6,0
2020-12-09,Hendrik-Ido-Ambacht,12,0
2020-12-09,Hillegom,1,0
2020-12-09,Katwijk,30,0
2020-12-09,Krimpen aan den IJssel,27,2
2020-12-09,Leiden,32,0
2020-12-09,Leiderdorp,12,0
2020-12-09,Lisse,11,0
2020-12-09,Maassluis,12,0
2020-12-09,Nieuwkoop,10,0
2020-12-09,Noordwijk,13,0
2020-12-09,Oegstgeest,17,0
2020-12-09,Papendrecht,13,0
2020-12-09,Ridderkerk,20,2
2020-12-09,Rotterdam,217,8
2020-12-09,Rijswijk,15,0
2020-12-09,Schiedam,23,3
2020-12-09,Sliedrecht,15,1
2020-12-09,Albrandswaard,11,0
2020-12-09,Westvoorne,4,0
2020-12-09,Vlaardingen,25,0
2020-12-09,Voorschoten,9,0
2020-12-09,Waddinxveen,13,0
2020-12-09,Wassenaar,5,2
2020-12-09,Zoetermeer,42,0
2020-12-09,Zoeterwoude,3,0
2020-12-09,Zwijndrecht,20,0
2020-12-09,Teylingen,26,0
2020-12-09,Lansingerland,18,0
2020-12-09,Westland,65,1
2020-12-09,Midden-Delfland,10,1
2020-12-09,Kaag en Braassem,14,0
2020-12-09,Zuidplas,17,0
2020-12-09,Bodegraven-Reeuwijk,20,0
2020-12-09,Leidschendam-Voorburg,21,1
2020-12-09,Goeree-Overflakkee,31,0
2020-12-09,Pijnacker-Nootdorp,30,0
2020-12-09,Nissewaard,20,0
2020-12-09,Krimpenerwaard,14,0
2020-12-09,Hoeksche Waard,20,0
2020-12-09,Molenlanden,14,2
2020-12-10,Alblasserdam,8,0
2020-12-10,Alphen aan den Rijn,76,0
2020-12-10,Barendrecht,11,1
2020-12-10,Brielle,3,0
2020-12-10,Capelle aan den IJssel,22,1
2020-12-10,Delft,50,2
2020-12-10,Dordrecht,50,1
2020-12-10,Gorinchem,19,0
2020-12-10,Gouda,56,0
2020-12-10,'s-Gravenhage,278,0
2020-12-10,Hardinxveld-Giessendam,4,0
2020-12-10,Hellevoetsluis,16,0
2020-12-10,Hendrik-Ido-Ambacht,16,0
2020-12-10,Hillegom,6,0
2020-12-10,Katwijk,38,0
2020-12-10,Krimpen aan den IJssel,19,1
2020-12-10,Leiden,54,0
2020-12-10,Leiderdorp,13,0
2020-12-10,Lisse,18,0
2020-12-10,Maassluis,19,1
2020-12-10,Nieuwkoop,17,0
2020-12-10,Noordwijk,20,0
2020-12-10,Oegstgeest,21,0
2020-12-10,Papendrecht,11,0
2020-12-10,Ridderkerk,23,0
2020-12-10,Rotterdam,279,2
2020-12-10,Rijswijk,27,0
2020-12-10,Schiedam,33,0
2020-12-10,Sliedrecht,14,1
2020-12-10,Albrandswaard,25,0
2020-12-10,Westvoorne,5,0
2020-12-10,Vlaardingen,37,0
2020-12-10,Voorschoten,11,0
2020-12-10,Waddinxveen,19,0
2020-12-10,Wassenaar,16,0
2020-12-10,Zoetermeer,107,0
2020-12-10,Zoeterwoude,2,0
2020-12-10,Zwijndrecht,14,0
2020-12-10,Teylingen,37,0
2020-12-10,Lansingerland,48,1
2020-12-10,Westland,110,0
2020-12-10,Midden-Delfland,14,0
2020-12-10,Kaag en Braassem,17,0
2020-12-10,Zuidplas,35,2
2020-12-10,Bodegraven-Reeuwijk,25,0
2020-12-10,Leidschendam-Voorburg,40,1
2020-12-10,Goeree-Overflakkee,23,0
2020-12-10,Pijnacker-Nootdorp,44,0
2020-12-10,Nissewaard,32,0
2020-12-10,Krimpenerwaard,32,1
2020-12-10,Hoeksche Waard,20,0
2020-12-10,Molenlanden,26,0
2020-12-11,Alblasserdam,7,0
2020-12-11,Alphen aan den Rijn,107,0
2020-12-11,Barendrecht,16,0
2020-12-11,Brielle,11,0
2020-12-11,Capelle aan den IJssel,25,2
2020-12-11,Delft,36,0
2020-12-11,Dordrecht,54,0
2020-12-11,Gorinchem,24,0
2020-12-11,Gouda,51,0
2020-12-11,'s-Gravenhage,202,2
2020-12-11,Hardinxveld-Giessendam,10,0
2020-12-11,Hellevoetsluis,14,0
2020-12-11,Hendrik-Ido-Ambacht,22,0
2020-12-11,Hillegom,7,0
2020-12-11,Katwijk,40,0
2020-12-11,Krimpen aan den IJssel,26,1
2020-12-11,Leiden,34,1
2020-12-11,Leiderdorp,21,1
2020-12-11,Lisse,20,0
2020-12-11,Maassluis,19,0
2020-12-11,Nieuwkoop,33,0
2020-12-11,Noordwijk,17,0
2020-12-11,Oegstgeest,16,0
2020-12-11,Papendrecht,25,1
2020-12-11,Ridderkerk,20,1
2020-12-11,Rotterdam,291,2
2020-12-11,Rijswijk,29,0
2020-12-11,Schiedam,33,1
2020-12-11,Sliedrecht,19,1
2020-12-11,Albrandswaard,19,0
2020-12-11,Westvoorne,5,0
2020-12-11,Vlaardingen,33,1
2020-12-11,Voorschoten,13,0
2020-12-11,Waddinxveen,15,0
2020-12-11,Wassenaar,13,0
2020-12-11,Zoetermeer,48,0
2020-12-11,Zoeterwoude,8,0
2020-12-11,Zwijndrecht,26,0
2020-12-11,Teylingen,31,0
2020-12-11,Lansingerland,46,0
2020-12-11,Westland,105,1
2020-12-11,Midden-Delfland,18,0
2020-12-11,Kaag en Braassem,18,0
2020-12-11,Zuidplas,27,0
2020-12-11,Bodegraven-Reeuwijk,26,2
2020-12-11,Leidschendam-Voorburg,45,0
2020-12-11,Goeree-Overflakkee,37,0
2020-12-11,Pijnacker-Nootdorp,33,0
2020-12-11,Nissewaard,28,0
2020-12-11,Krimpenerwaard,45,0
2020-12-11,Hoeksche Waard,35,0
2020-12-11,Molenlanden,26,0
2020-12-12,Alblasserdam,16,0
2020-12-12,Alphen aan den Rijn,86,0
2020-12-12,Barendrecht,22,0
2020-12-12,Brielle,9,0
2020-12-12,Capelle aan den IJssel,32,0
2020-12-12,Delft,34,0
2020-12-12,Dordrecht,79,0
2020-12-12,Gorinchem,17,1
2020-12-12,Gouda,67,1
2020-12-12,'s-Gravenhage,280,1
2020-12-12,Hardinxveld-Giessendam,14,0
2020-12-12,Hellevoetsluis,9,0
2020-12-12,Hendrik-Ido-Ambacht,14,0
2020-12-12,Hillegom,11,0
2020-12-12,Katwijk,64,0
2020-12-12,Krimpen aan den IJssel,12,0
2020-12-12,Leiden,56,0
2020-12-12,Leiderdorp,22,0
2020-12-12,Lisse,22,0
2020-12-12,Maassluis,17,0
2020-12-12,Nieuwkoop,19,1
2020-12-12,Noordwijk,30,1
2020-12-12,Oegstgeest,16,0
2020-12-12,Papendrecht,27,0
2020-12-12,Ridderkerk,22,0
2020-12-12,Rotterdam,287,4
2020-12-12,Rijswijk,21,0
2020-12-12,Schiedam,29,1
