Date_of_publication,Municipality_name,Total_reported,Deceased
2022-01-11,Krimpen aan den IJssel,49,0
2022-01-11,Leiden,274,0
2022-01-11,Leiderdorp,46,0
2022-01-11,Lisse,28,0
2022-01-11,Maassluis,41,0
2022-01-11,Nieuwkoop,49,0
2022-01-11,Noordwijk,70,0
2022-01-11,Oegstgeest,67,0
2022-01-11,Papendrecht,40,0
2022-01-11,Ridderkerk,63,0
2022-01-11,Rotterdam,1467,0
2022-01-11,Rijswijk,50,0
2022-01-11,Schiedam,81,0
2022-01-11,Sliedrecht,20,0
2022-01-11,Albrandswaard,57,0
2022-01-11,Westvoorne,23,0
2022-01-11,Vlaardingen,60,0
2022-01-11,Voorschoten,36,0
2022-01-11,Waddinxveen,50,0
2022-01-11,Wassenaar,64,0
2022-01-11,Zoetermeer,96,0
2022-01-11,Zoeterwoude,14,0
2022-01-11,Zwijndrecht,64,0
2022-01-11,Teylingen,78,0
2022-01-11,Lansingerland,189,0
2022-01-11,Westland,129,0
2022-01-11,Midden-Delfland,18,0
2022-01-11,Kaag en Braassem,47,0
2022-01-11,Zuidplas,79,0
2022-01-11,Bodegraven-Reeuwijk,62,0
2022-01-11,Leidschendam-Voorburg,97,0
2022-01-11,Goeree-Overflakkee,43,0
2022-01-11,Pijnacker-Nootdorp,87,0
2022-01-11,Nissewaard,113,0
2022-01-11,Krimpenerwaard,86,0
2022-01-11,Hoeksche Waard,93,0
2022-01-11,Molenlanden,50,0
2022-01-12,Alblasserdam,22,1
2022-01-12,Alphen aan den Rijn,215,0
2022-01-12,Barendrecht,107,0
2022-01-12,Brielle,18,0
2022-01-12,Capelle aan den IJssel,130,0
2022-01-12,Delft,271,0
2022-01-12,Dordrecht,189,0
2022-01-12,Gorinchem,65,0
2022-01-12,Gouda,228,0
2022-01-12,'s-Gravenhage,1437,0
2022-01-12,Hardinxveld-Giessendam,27,0
2022-01-12,Hellevoetsluis,76,0
2022-01-12,Hendrik-Ido-Ambacht,47,0
2022-01-12,Hillegom,58,0
2022-01-12,Katwijk,129,0
2022-01-12,Krimpen aan den IJssel,52,0
2022-01-12,Leiden,294,0
2022-01-12,Leiderdorp,64,0
2022-01-12,Lisse,47,1
2022-01-12,Maassluis,56,0
2022-01-12,Nieuwkoop,52,0
2022-01-12,Noordwijk,82,0
2022-01-12,Oegstgeest,61,0
2022-01-12,Papendrecht,34,0
2022-01-12,Ridderkerk,83,0
2022-01-12,Rotterdam,1551,2
2022-01-12,Rijswijk,133,0
2022-01-12,Schiedam,138,0
2022-01-12,Sliedrecht,34,0
2022-01-12,Albrandswaard,45,0
2022-01-12,Westvoorne,26,0
2022-01-12,Vlaardingen,124,0
2022-01-12,Voorschoten,60,0
