Date_of_publication,Municipality_name,Total_reported,Deceased
2020-04-03,Delft,4,1
2020-04-04,Delft,6,0
2020-04-05,Delft,6,0
2020-04-06,Delft,1,0
2020-04-07,Delft,0,0
2020-04-08,Delft,2,0
2020-04-09,Delft,6,1
2020-04-10,Delft,5,1
2020-04-11,Delft,5,0
2020-04-12,Delft,3,1
2020-04-13,Delft,9,0
2020-04-14,Delft,3,0
2020-04-15,Delft,0,0
2020-04-16,Delft,1,0
2020-04-17,Delft,1,0
2020-04-18,Delft,2,1
2020-04-19,Delft,3,1
2020-04-20,Delft,2,0
2020-04-21,Delft,2,0
2020-04-22,Delft,3,1
2020-04-23,Delft,3,0
2020-04-24,Delft,2,1
2020-04-25,Delft,1,0
2020-04-26,Delft,4,0
2020-04-27,Delft,0,0
2020-04-28,Delft,0,0
2020-04-29,Delft,1,0
2020-04-30,Delft,1,0
2020-04-01,Dordrecht,14,1
2020-04-02,Dordrecht,11,1
2020-04-03,Dordrecht,3,0
2020-04-04,Dordrecht,3,1
2020-04-05,Dordrecht,5,0
2020-04-06,Dordrecht,11,1
2020-04-07,Dordrecht,4,1
2020-04-08,Dordrecht,9,0
2020-04-09,Dordrecht,12,0
2020-04-10,Dordrecht,10,2
2020-04-11,Dordrecht,11,0
2020-04-12,Dordrecht,4,0
2020-04-13,Dordrecht,9,0
2020-04-14,Dordrecht,4,0
2020-04-15,Dordrecht,12,1
2020-04-16,Dordrecht,9,3
2020-04-17,Dordrecht,12,3
2020-04-18,Dordrecht,8,0
2020-04-19,Dordrecht,11,0
2020-04-20,Dordrecht,8,1
2020-04-21,Dordrecht,0,1
2020-04-22,Dordrecht,3,0
2020-04-23,Dordrecht,5,0
2020-04-24,Dordrecht,5,0
2020-04-25,Dordrecht,4,2
2020-04-26,Dordrecht,6,0
2020-04-27,Dordrecht,1,1
2020-04-28,Dordrecht,0,0
2020-04-29,Dordrecht,4,1
2020-04-30,Dordrecht,4,0
2020-04-01,Goeree-Overflakkee,9,0
2020-04-02,Goeree-Overflakkee,12,0
2020-04-03,Goeree-Overflakkee,13,3
2020-04-04,Goeree-Overflakkee,12,0
2020-04-05,Goeree-Overflakkee,7,0
2020-04-06,Goeree-Overflakkee,6,2
2020-04-07,Goeree-Overflakkee,8,1
2020-04-08,Goeree-Overflakkee,5,1
2020-04-09,Goeree-Overflakkee,8,1
2020-04-10,Goeree-Overflakkee,6,0
2020-04-11,Goeree-Overflakkee,9,6
2020-04-12,Goeree-Overflakkee,3,0
2020-04-13,Goeree-Overflakkee,4,2
2020-04-14,Goeree-Overflakkee,0,0
2020-04-15,Goeree-Overflakkee,2,2
2020-04-16,Goeree-Overflakkee,8,0
2020-04-17,Goeree-Overflakkee,3,2
2020-04-18,Goeree-Overflakkee,5,1
2020-04-19,Goeree-Overflakkee,0,2
2020-04-20,Goeree-Overflakkee,2,0
2020-04-21,Goeree-Overflakkee,3,0
2020-04-22,Goeree-Overflakkee,1,0
2020-04-23,Goeree-Overflakkee,1,0
2020-04-24,Goeree-Overflakkee,0,3
2020-04-25,Goeree-Overflakkee,0,0
2020-04-26,Goeree-Overflakkee,1,0
2020-04-27,Goeree-Overflakkee,2,0
2020-04-28,Goeree-Overflakkee,0,0
2020-04-29,Goeree-Overflakkee,0,1
2020-04-30,Goeree-Overflakkee,0,0
2020-04-01,Gorinchem,3,1
2020-04-02,Gorinchem,9,0
2020-04-03,Gorinchem,5,0
2020-04-04,Gorinchem,3,1
2020-04-05,Gorinchem,6,1
2020-04-06,Gorinchem,2,0
2020-04-07,Gorinchem,9,2
2020-04-08,Gorinchem,5,0
2020-04-09,Gorinchem,8,1
2020-04-10,Gorinchem,7,1
2020-04-11,Gorinchem,3,1
2020-04-12,Gorinchem,1,0
2020-04-13,Gorinchem,8,0
2020-04-14,Gorinchem,4,0
2020-04-15,Gorinchem,3,3
2020-04-16,Gorinchem,2,0
2020-04-17,Gorinchem,4,0
2020-04-18,Gorinchem,4,0
2020-04-19,Gorinchem,1,0
2020-04-20,Gorinchem,0,0
2020-04-21,Gorinchem,2,1
2020-04-22,Gorinchem,3,0
2020-04-23,Gorinchem,2,0
2020-04-24,Gorinchem,2,0
2020-04-25,Gorinchem,3,0
2020-04-26,Gorinchem,0,0
2020-04-27,Gorinchem,0,0
2020-04-28,Gorinchem,0,0
2020-04-29,Gorinchem,0,2
2020-04-30,Gorinchem,1,0
2020-04-01,Gouda,11,0
2020-04-02,Gouda,7,1
2020-04-03,Gouda,5,2
2020-04-04,Gouda,6,0
2020-04-05,Gouda,10,0
2020-04-06,Gouda,8,1
2020-04-07,Gouda,0,2
2020-04-08,Gouda,5,0
2020-04-09,Gouda,6,1
2020-04-10,Gouda,13,0
2020-04-11,Gouda,5,0
2020-04-12,Gouda,14,0
