,,Gemiddeld,40% huishoudens,20% huishoudens
,,persoonlijk ,met laagste,met hoogste
,,inkomen,besteedbaar,besteedbaar
,,per inwoner,inkomen,inkomen
,,,,
,Regionaam,x 1000 euro,%,
,Wijk 02 Commandeurs en Marquette,29.5,25.6,28.5
,"Wijk 03 Hofland, Oosterwijk en Zuidbroek",23.9,49.4,10.2
,Wijk 04 Heemskerkerduin en Noorddorp,31,21.6,39.8
,Wijk 05 Poelenburg en Oosterzij,22.1,50.7,9.7
,Wijk 06 Noordbroek en De Trompet,29,26.5,25.7
,Wijk 07 Kerkbeek,27.8,37.9,13.9
,Wijk 08 Assumburg,27.3,35.6,22.8
,Wijk 09 Hoogdorp en Waterakkers,29.8,16.5,32.6
,Wijk 10 Broekpolder,29.4,16.7,39.9
,Wijk 11 Oostelijk Heemskerk,.,.,.
GM0397,Heemstede,40.3,28.3,36.7
,Wijk 00 Heemstede-Centrum,40.6,28.2,36.8
,Wijk 01 Heemstede-Zuid,31.3,31.4,29.8
,Wijk 02 Heemstede west van de spoorbaan,53.5,21.4,50
GM0399,Heiloo,31.4,29.4,29
,Wijk 01 Blockhovepark,40.3,13.1,56.1
,Wijk 02 Heiloo Noord-West,35.8,17,38.7
,Wijk 03 Heiloo-Midden,31.9,27.2,30.9
,Wijk 04 Heiloo-West,29.6,29,24.7
,Wijk 05 Stationsomgeving,28.5,33.9,23.1
,Wijk 06 Ypestein,31.3,36.5,27.9
,Wijk 07 Heiloo-Oost,.,.,.
,Wijk 08 Heiloo Zuid-West,33.9,31.7,33.2
GM0400,Den Helder,24.9,44.6,12.9
,Wijk 01 Stad binnen de Linie-Oost,24,52.5,8.8
,Wijk 02 Stad binnen de Linie-West,24.2,46.5,10
,Wijk 03 Nieuw Den Helder-West,25.4,50.8,12.8
,Wijk 04 Nieuw Den Helder-Oost,22.5,53,11.3
,Wijk 05 De Schooten,24.1,50.5,9.6
,Wijk 06 Het Koegras,26.8,37.8,22.2
,Wijk 07 Duinzoom,34.7,25,26.7
,Wijk 08 Julianadorp,27.8,23.2,22.5
GM0402,Hilversum,30.9,40.1,22.8
,Centrum,30.1,49.6,13.6
,Noordwest,50.7,25.9,43.4
,Zuidwest,27.7,43.3,18.5
,Zuid,31,35.3,26
,Zuidoost,37,35.5,32.4
,Oost,26.1,41.3,19.6
,Noordoost,25.6,48.3,16.2
,Hilversumse Meent,27.3,32.2,21.4
,Landelijk Gebied,37.2,29.9,34
GM0405,Hoorn,26,37.9,18.6
,Wijk 10 Binnenstad,32.6,42.8,18.5
,Wijk 11 Venenlaan-kwartier,27.1,41,20
,Wijk 12 Hoorn-Noord,26,41.8,18.7
,Wijk 13 Grote Waal,22.4,43.7,11.4
,Wijk 20 Risdam-Zuid,25.3,41.1,15.8
,Wijk 21 Risdam-Noord,23.7,40.8,12
,Wijk 22 Nieuwe Steen,33.2,14.6,33.8
,Wijk 30 Zwaag,25.1,35.6,16.9
,Wijk 31 Blokker,27.9,31.2,21.9
,Wijk 32 Kersenboogerd-Noord,21,52.9,9
,Wijk 33 Kersenboogerd-Zuid,26.6,34.3,23.2
,Wijk 34 Hoorn 80,.,.,.
,Wijk 35 Bangert en Oosterpolder,27.7,16.8,33.2
,Wijk 36 Noord,.,.,.
GM0406,Huizen,29.7,34.5,24.7
,Wijk 00 Oude Dorp,29.6,35.5,25.5
,Wijk 01 Westereng,32.5,27.1,33.1
,Wijk 02 Buitenwijken,68.2,8.2,75.2
,Wijk 03 Erica en Tafelberg,56.2,8.3,71.7
,Wijk 04 Staatslieden en Componistenbuurt,38.7,21.9,46.2
,Wijk 05 Havengebied,29.9,30.5,24.5
,Wijk 06 Zenderwijk en Bovenweg,25.6,42,19.1
,Wijk 07 Stad en Lande,23.9,35.7,17.8
,Wijk 08 Huizermaat West en Zuid,26.5,37,17.1
,Wijk 09 Huizermaat Noord,27.5,37.4,17.6
,Wijk 10 Bijvanck,26.7,39.4,17.2
,Wijk 11 Bovenmaten,26.5,41.3,19
,Wijk 12 Hogemaat,35.3,18.7,41.3
GM0415,Landsmeer,31.6,27.2,32.6
,Purmerland,39.2,20.2,37.6
,Den Ilp,37.6,23.6,43.5
,Landsmeer,30.8,27.8,31.5
GM0417,Laren,42.2,28.2,39.5
,Laren,42.2,28.2,39.5
GM0420,Medemblik,25.7,33.4,22.7
,Medemblik,24,40.2,17
,Opperdoes,24.2,35.6,22.3
,Twisk,28.5,30.2,24.8
,Lambertschaag,28.2,.,.
,Abbekerk,27,31,21
,Sijbekarspel,25.9,25.6,24.5
,Benningbroek,28.1,31.5,29.5
,Wognum,27.6,26.1,29.6
,Zwaagdijk-West,28.2,20.3,34.2
,Nibbixwoud,25.3,29.2,24.1
,Midwoud,27,35.9,18.9
,Oostwoud,28.2,24.5,30.1
,Hauwert,27.4,22.3,30.6
,Zwaagdijk-Oost,27.4,30.8,30.6
,Wervershoof,25.2,35.2,22.2
,Andijk,24.9,34.5,21.7
GM0431,Oostzaan,29.3,29,30.5
,Wijk 00,29.3,29,30.5
GM0432,Opmeer,25.7,32,24.5
,Wijk 00,25.4,33.6,23.2
,Wijk 01,25.8,30.9,24.8
,Wijk 02,27.8,25.5,34.2
GM0437,Ouder-Amstel,34.5,33.1,31.5
,Wijk 00,34.5,33.1,31.5
GM0439,Purmerend,26.9,36.1,20.9
,Wijk 01 Centrum,28.5,48.8,12.9
,Wijk 02 Overwhere,25.2,42.9,12.2
,Wijk 03 Wheermolen,21.4,53.8,7.5
,Wijk 04 Gors,26.5,34.2,18
,Wijk 05 Purmer-Noord,24.4,40.6,14.5
,Wijk 06 Purmer-Zuid,29.4,26,30.3
,Wijk 07 Weidevenne,28.6,26,32
,Beemster,30.3,26.5,33.4
GM0441,Schagen,26.6,33.6,22.1
,Schagerbrug,28,25,28.9
,Schagen (woonkern-Zuid en Buitengebied),27.2,32.6,22.3
,Burgerbrug,25.9,32.9,24.1
,Sint Maarten,27.7,27.7,26.6
,Warmenhuizen,27.6,28.9,28.9
,Tuitjenhorn,25.7,33.4,25.5
,Waarland,27.7,28.6,30.6
,Dirkshorn,27,33.1,22.4
,Oudesluis,26.6,29.8,23.3
,Schagen (woonkern-Midden),24.9,44,11.6
,Petten,26.3,33.2,18.3
,Sint Maartensbrug,27.8,25.2,26.8
,t Zand,23.7,33.5,21.7
,Sint Maartensvlotbrug,25.1,41.5,15.1
,Callantsoog,27.2,35.8,19.8
,Schagen (woonkern-West en Buitengebied),25.8,31.7,17.7
,Schagen (woonkern-Oost en Buitengebied),29.8,27.5,33.2
GM0448,Texel,24.9,38.3,17.9
,Wijk 00 Het Oude Land en duingebied,24.8,38.7,17.4
,Wijk 01 Het Nieuwe Land,25.4,34.5,22.3
GM0450,Uitgeest,29.3,25.7,29.6
,Wijk 00 Uitgeest,29.3,25.7,29.6
GM0451,Uithoorn,29.3,32.2,25.6
,Wijk 15 Dorpscentrum,30.3,44.9,17
,Wijk 25 Thamerdal,24.2,44.8,15.6
,Wijk 35 Zijdelwaard,25.5,40,17.6
,Wijk 45 Legmeer,30.8,25.9,27.7
,Wijk 50 Langs de Vuurlinie,32.3,16.8,46.5
,Wijk 55 Veilinggebied,.,.,.
,Wijk 65 Meerwijk,34.4,23.9,36.7
,Wijk 75 Bedrijventerrein,28.9,29.1,27.3
,Wijk 85 Meerwijk,29.6,26.6,30.9
,Wijk 90 Glastuinbouwgebied,27.4,22.2,38.9
,Wijk 95 Veenweidegebied,34.7,.,.
GM0453,Velsen,27.8,37.5,22.2
,Wijk 00 Velsen-Zuid en Driehuis,37.2,16.9,42.7
,Wijk 01 IJmuiden-Noord,24.7,42.9,12.9
,Wijk 02 IJmuiden-Zuid,24.8,46.5,14.3
,Wijk 03 IJmuiden-West,26.1,48.3,12.9
,Wijk 04 Zee- en Duinwijk,23.5,50.8,12
,Wijk 05 Velsen-Noord,22.3,49.3,12.1
,Wijk 06 Santpoort-Noord,32.1,25.4,32.5
,Wijk 07 Santpoort-Zuid,39.5,28.2,40.8
,Wijk 08 Velserbroek,29,23.7,32.9
,Wijk 09 Spaarndammerpolder,30.2,32.8,28.2
GM0457,Weesp,30.2,37.5,23.8
,Binnenstad,33.6,38.6,24.4
,Zuid,30.6,40.4,28
,Noord,26.9,50.6,9.8
,Hogewey,26.4,43,16.1
,Aetsveld,29,27.8,26
,Aetsveldsepolder,42.5,16.2,51.8
,Oostelijke Vechtoever,31.8,20.3,45.4
,Bloemendalerpolder,37.8,8.6,63
GM0473,Zandvoort,29.3,42.4,20.2
,Zandvoort Noord,24.5,46.4,14.7
,Zandvoort Zuid,31.6,40.6,22.6
,Bentveld,48.1,26.3,42.3
,Buitengebied,.,.,.
GM0479,Zaanstad,25.7,39.9,18.4
,Wijk 11 Zaandam Zuid,23,47.3,11.9
,Wijk 12 Poelenburg,18.3,53.9,10.8
,Wijk 13 Pelders- en Hoornseveld,21.3,50.7,12.4
,Wijk 14 Rosmolenwijk,24,51.9,10.4
,Wijk 15 Kogerveldwijk,22,47.9,9.2
,Wijk 16 Zaandam Noord,27.1,36.7,18
,Wijk 21 Oude Haven,29,40.9,19.8
,Wijk 22 Zaandam West,27.4,41.6,17.3
,Wijk 23 Nieuw West,29.3,30.1,26.3
,Wijk 31 Oud Koog a/d Zaan,24.6,41.8,14.7
,Wijk 32 Westerkoog,29,28,24
,Wijk 41 Oud Zaandijk,27.1,47.1,16.2
,Wijk 42 Rooswijk,26.6,35.6,25.2
,Wijk 51 Wormerveer,24.6,46,11.1
,Wijk 61 Krommenie Oost,24.9,49,12.7
,Wijk 62 Krommenie West,27,33,23.1
,Wijk 71 Assendelft-Zuid,28.3,31.2,24.6
,Wijk 72 Assendelft-Noord,27.7,18.8,34.4
,Wijk 81 Westzaan,30.9,27.1,31.2
GM0482,Alblasserdam,25,35.7,21.7
,Wijk 01 Centrum,26.3,34.5,22.3
,Wijk 02 Kinderdijk,25.3,36.2,21.8
,Wijk 03 Blokweer,24.3,33.5,20.9
,Wijk 04 Souburgh,24.1,42.1,21.2
,Wijk 05 Bedrijventerrein,21.8,.,.
,Wijk 06 Landelijk gebied,35.6,.,.
GM0484,Alphen aan den Rijn,28.3,32.4,23.7
,Oudshoorn,27.9,30.7,22.6
,Ridderveld,25.3,39.7,14.9
,Zegersloot,26.3,32.2,18.8
,Hoorn,25.7,49.5,11.1
,Hoge Zijde,28,37.2,19.5
,Lage Zijde,30,30.5,21.6
,Steekterpolder,31.9,27.9,34.5
,Kerk en Zanen,32.3,22,36.9
,Rietveld,.,.,.
,Benthuizen,27.2,25.1,29.4
,Aarlanderveen,31.8,29.5,35.5
,Boskoop,27.7,34.1,25.1
,Zwammerdam,29.5,33.4,25.5
,Hazerswoude-Dorp,29.2,27.4,31
,Hazerswoude-Rijndijk,26.8,31.1,22.4
,Koudekerk aan den Rijn,28.6,29.8,27.6
GM0489,Barendrecht,30.5,25.2,33.3
,Wijk 01 Centrum,25.7,44.6,20.3
,Wijk 02 Noord,23.4,47.4,16.5
,Wijk 03 Binnenland,27.7,38.9,17.6
,Wijk 04 Oranjewijk,34.9,13.8,45.7
,Wijk 05 Buitenoord,29.4,28.6,27.3
,Wijk 06 Ter Leede,34.4,12.7,48
,Wijk 07 Paddewei,25,32.2,21.8
,Wijk 08 Molenvliet,29.7,26.8,29.2
,Wijk 09 Nieuweland,31.7,21.6,38.8
,Wijk 10 Dorpzicht,31.4,9.8,41.2
,Wijk 11 Bijdorp,32.6,20.7,44.3
,Wijk 12 Smitshoek,30.6,25.3,35
,Wijk 13 Voordijk,45,9.5,67.9
,Wijk 14 Meerwede,30.1,25,29.6
,Wijk 15 Waterkant,31.3,27.7,32.2
,Wijk 16 Havenkwartier,34.9,18.6,37.5
,Wijk 17 Gaatkensoog,36.6,12.2,45.7
,Wijk 18 Riederhoek,30.3,18.9,38.6
,Wijk 19 Vrijheidsakker,33,12.1,42.8
,Wijk 20 Vrijenburg,27.9,21.6,35.7
,Wijk 30 Buitengebied Noord,30.6,.,.
,Wijk 31 Buitengebied Zuid,33.4,19.8,40
,Wijk 50 Bedrijventerreinen,.,.,.
GM0498,Drechterland,26.7,30.2,25.4
,Hoogkarspel,25.7,31.8,23
,Westwoud,27.2,26.6,28.3
,Oosterblokker,29.5,25.6,33.6
,Venhuizen,25.6,32.2,23.1
,Wijdenes,28.4,27.1,32.8
,Schellinkhout,30.7,24.2,26.9
,Hem,27.3,32.3,25.7
,Oosterleek,35.2,.,.
GM0501,Brielle,31.7,28.2,26.8
,Wijk 00 Brielle,31.8,30.2,25.7
,Wijk 01 Vierpolders,30.7,18.6,30.4
,Wijk 02 Zwartewaal,31.5,21.4,31.2
,Wijk 03 Recreatiestrook Brielse Maas,.,.,.
GM0502,Capelle aan den IJssel,26.8,40.5,18.8
,Capelle West en 's Gravenland,31.9,20.6,38.4
,Middelwatering West,25.9,40.3,14.2
,Middelwatering Oost,23,52.1,10.1
,Oostgaarde Zuid,29.5,37,23.2
,Oostgaarde Noord,22,52.9,9.4
,Schenkel,26.3,46.7,18.9
,Schollevaar Zuid,26,41,14.2
,Schollevaar Noord,28,37.1,19.1
,Rivium,30.1,25.1,41.7
GM0503,Delft,25.6,57,14
,Wijk 11 Binnenstad,30.5,60.4,15.3
,Wijk 12 Vrijenban,25.1,58.5,12.6
,Wijk 13 Hof van Delft,26.9,57.2,15.3
,Wijk 14 Voordijkshoorn,29.5,38.9,27.3
,Wijk 16 Delftse Hout,.,.,.
,Wijk 22 Tanthof-West,28.1,37.7,20.6
,Wijk 23 Tanthof-Oost,26.5,44.7,14.2
,Wijk 24 Voorhof,21.2,63.8,5.8
,Wijk 25 Buitenhof,21.3,63.1,10.1
,Wijk 26 Abtswoude,.,.,.
,Wijk 27 Schieweg,34.6,35.6,27.1
,Wijk 28 Wippolder,22.3,70.5,9.7
,Wijk 29 Ruiven,25.5,52.1,15.8
GM0505,Dordrecht,26.1,41.7,17.6
,Wijk 01 Binnenstad,33.4,44.5,17.1
,Wijk 02 Noordflank,26.7,48.8,17.2
,Wijk 03 Oud Krispijn,21.3,43.7,12
,Wijk 04 Nieuw-krispijn,20.9,56.5,8.6
,Wijk 05 Het Reeland,26.5,40.8,17.8
,Wijk 06 Staart,22.8,51.4,7.1
,Wijk 07 Wielwijk,22,56.3,10.8
,Wijk 08 Crabbehof/Zuidhoven,21.5,60.4,7.1
,Wijk 09 Sterrenburg,25.5,38.1,16.6
,Wijk 10 Dubbeldam,31.2,26.5,33.1
,Wijk 11 Stadspolders,28.1,27.2,26.6
,Wijk 19 Industriegebied West,26.7,29.4,26.2
,Wijk 98 Verspreide bebouwing,29.8,27.6,32.5
GM0512,Gorinchem,26.7,41.3,19.5
,Wijk 01 Gorinchem binnenstad,31.7,47.4,15.5
,Wijk 02 Wijdschild,29.4,22.5,28.4
,Wijk 03 Lingewijk,23.7,46.2,12.5
,Wijk 04 haarwijk,23.1,42.4,16.7
,Wijk 05 Stalkaarsen,24.7,42,12.8
,Wijk 06 Gildenwijk,20.5,66.8,4.4
,Wijk 07 Schelluinsestraat,24.8,.,.
,Wijk 08 Avelingen Oost,.,.,.
,Wijk 09 Avelingen West,.,.,.
,Wijk 10 Molenvliet,.,.,.
,Wijk 11 laag Dalem,29.5,22,36
,Wijk 12 Dalem,31.3,17.5,33.9
,Wijk 13 Hoog Dalem,31.7,9.1,45.3
,Wijk 14 Bedrijventerrein Oost,.,.,.
,Wijk 15 Papland,.,.,.
,Wijk 16 schotdeuren,31.4,.,.
,Wijk 17 Bedrijventerrein Noord,.,.,.
,Wijk 18 Landelijk gebied West,27.3,.,.
,Wijk 19 Landelijk gebied Noord,.,.,.
,Wijk 20 Landelijk gebied Oost,.,.,.
,Wijk 21 Landelijk gebied Zuid,.,.,.
GM0513,Gouda,27,39.4,19.5
,Binnenstad,31.8,47.6,17.4
,De Korte Akkeren,22.1,45.1,10.2
,Bloemendaal,29.6,36.6,20.1
,Plaswijck,26.7,37,20.8
,Noord,27,38.9,21.1
,Kort Haarlem,25.3,43.3,18.3
,Goverwelle,26.5,27.6,26.7
,Stolwijkersluis,39.3,31.1,33.2
,Westergouwe,29.6,38.7,31
GM0518,'s-Gravenhage,27.1,48.4,17.3
,Wijk 01 Oostduinen,.,.,.
,Wijk 02 Belgisch Park,36.4,39.5,27.3
,Wijk 03 Westbroekpark en Duttendel,54.8,25.4,42.3
,Wijk 04 Benoordenhout,48.6,22.6,42.6
,Wijk 05 Archipelbuurt,56.4,35.8,32.9
,Wijk 06 Van Stolkpark en Scheveningse Bo,61.5,31.4,41.3
,Wijk 07 Scheveningen,29.6,47.7,18.6
,Wijk 08 Duindorp,23.4,49.3,12.7
,Wijk 09 Geuzen- en Statenkwartier,40.7,33.9,32.6
,Wijk 10 Zorgvliet,53.6,22.4,46.7
,Wijk 11 Duinoord,42.1,37.9,28.8
,Wijk 12 Bomen- en Bloemenbuurt,31.3,33.7,21.4
,Wijk 13 Vogelwijk,44.8,10.7,59.2
,Wijk 14 Bohemen en Meer en Bos,34.1,42,17
,Wijk 15 Kijkduin en Ockenburgh,42.3,28,38.1
,Wijk 16 Kraayenstein en Vroondaal,35.1,29.1,29.8
,Wijk 17 Loosduinen,25.3,42.5,15.7
,Wijk 18 Waldeck,25.8,49.4,10.4
,Wijk 19 Vruchtenbuurt,31.9,25.6,28.1
,Wijk 20 Valkenboskwartier,25.7,51.3,12.7
,Wijk 21 Regentessekwartier,29.1,52.2,15.8
,Wijk 22 Zeeheldenkwartier,32.9,54,16.8
,Wijk 23 Willemspark,54.5,37.7,27.5
,Wijk 24 Haagse Bos,48.3,41.7,19.5
,Wijk 25 Mariahoeve en Marlot,27.1,56.9,11
,Wijk 26 Bezuidenhout,34.2,42.7,20.1
,Wijk 27 Stationsbuurt,22.4,71.8,8.3
,Wijk 28 Centrum,30.4,59,12.7
,Wijk 29 Schildersbuurt,15.4,64.1,7.9
,Wijk 30 Transvaalkwartier,16.6,60.3,8.5
,Wijk 31 Rustenburg en Oostbroek,20.8,49.3,7.8
,Wijk 32 Leyenburg,25,44.8,9.9
,Wijk 33 Bouwlust en Vrederust,19.1,61.7,8.5
,Wijk 34 Morgenstond,20.3,62,8.2
,Wijk 35 Zuiderpark,21.4,83.2,0
,Wijk 36 Moerwijk,17.7,69.1,5.8
,Wijk 37 Groente- en Fruitmarkt,17.8,51.2,12.8
,Wijk 38 Laakkwartier en Spoorwijk,19,60.2,6.6
,Wijk 39 Binckhorst,35.8,53.2,10
,Wijk 40 Wateringse Veld,28.6,25.6,35.4
,Wijk 41 Hoornwijk,27.3,71.2,16.5
,Wijk 42 Ypenburg,30.2,25.4,37.3
,Wijk 43 Forepark,39.6,.,.
,Wijk 44 Leidschenveen,29.9,19,41.3
GM0523,Hardinxveld-Giessendam,24.9,31.1,24.1
,Neder Hardinxveld,24.9,28.6,24.9
,De Peulen,24.5,43.2,16.1
,Boven Hardinxveld,24.9,31.3,23.6
,Giessendam,25.2,25.2,29.1
GM0530,Hellevoetsluis,28.9,32.2,22.3
,Wijk 00 Hellevoet,29,41.5,18.3
,Wijk 01 Nieuw-Helvoet,25.8,36.8,16.6
,Wijk 02 Nieuwenhoorn,32.4,28.2,29.8
,Wijk 03 De Struyten,27,28.3,18.6
,Wijk 04 De Kooistee,25.3,35.4,16.5
,Wijk 05 Den Bonsen Hoek,33.9,23.7,33.4
,Wijk 06 Ravense Hoek,36.2,11.4,47.4
,Wijk 07 Centrumgebied,26,63.8,4.6
,Wijk 08 Kickers Bloem,.,.,.
,Wijk 09 Buitengebied,34.2,26.5,33.9
,Oudenhoorn,30,27.5,27
GM0531,Hendrik-Ido-Ambacht,28,26.8,28.6
,Wijk 01 Centrum,25.3,33.4,21.8
,Wijk 02 Krommeweg,28.3,26,26.2
,Wijk 03 De Volgerlanden,30.4,20.1,37.9
,Wijk 04 Sandelingen-Ambacht,39.6,.,.
,Wijk 05 De Oevers,29.6,.,.
GM0532,Stede Broec,24.8,33.7,19.3
,Stede Broec Buitengebied,31.7,.,.
,Stede Broec Noord,26.7,29.3,24.9
,Stede Broec Zuid,22.7,38.3,13.1
GM0534,Hillegom,28.2,32.7,22
,Hillegom Midden,25.4,42.8,13.9
,Hillegom Noord,28.6,30.7,26.8
,Hillegom Zuid,27.7,29.3,21.9
,Hillegom West,32.3,23.9,29.5
,Buitengebied,31.5,26.7,32
GM0537,Katwijk,25.6,31.9,23.8
,Katwijk Noord,24.1,36.3,18.2
,'t Heen,.,.,.
,Katwijk aan den Rijn,25.3,34.6,24
,Katwijk aan Zee,25.2,33.5,22.6
,Landelijk gebied Katwijk,.,.,.
,Rijnsburg,27.1,28.1,27.2
,Valkenburg,27.2,21.4,31.3
GM0542,Krimpen aan den IJssel,26.6,34.4,21.8
,Wijk 00 Krimpen aan den IJssel,26.6,34.4,21.8
GM0546,Leiden,28.3,52,17
,Binnenstad-Zuid,28.3,70.1,10
,Binnenstad-Noord,27.8,66,9.5
,Stationsdistrict,32.3,51.5,15.5
,Leiden-Noord,24.6,55.9,12.5
,Roodenburgerdistrict,32.7,40.2,27.1
,Bos- en Gasthuisdistrict,26.1,55.8,13.2
,Morsdistrict,26.9,53.2,13.7
,Boerhaavedistrict,33.8,56.5,22.7
,Merenwijkdistrict,28.5,32.5,25.7
,Stevenshofdistrict,27.8,33.3,24.5
GM0547,Leiderdorp,30.3,31.2,26.2
,Wijk 00,29.6,34.7,22.1
,Wijk 01,32.4,25.1,35.4
,Wijk 02,30.5,26.5,30.7
GM0553,Lisse,28.1,34,23.1
,Lisse Noord,26.9,34.6,19.9
,Centrum,29.9,36.9,22.9
,Lisse Zuid,27.4,31.1,24.9
,Buitengebied,28.6,32.1,28.2
GM0556,Maassluis,26.4,37.8,18.5
,Wijk 01 Taanschuurpolder,26.9,35,18.7
,Wijk 02 Dijkpolder,24.1,47.1,15.1
,Sluispolder,25.3,47.9,13.7
,Wijk 04 Kapelpolder,25.5,43.8,17.2
,Wijk 05 Burgemeesterswijk,26.7,29.9,19.4
,Wijk 06 Steendijkpolder,29.4,16.7,26.7
,Wijk 07 Aalkeetpolder,37.4,.,.
,Wijk 08 Wilgenrijk,38.7,8.9,64.2
GM0569,Nieuwkoop,28.8,27.8,28.6
,Wijk 00,28.8,27.7,28.5
,Wijk 01 Nieuwveen,27.6,26.7,30.1
,Wijk 02 Zevenhoven,29.3,28.5,28.8
,Wijk 03 Ter Aar,29.1,28.2,28.2
GM0575,Noordwijk,29.9,34.5,24.8
,Noordwijk Zee,35.1,37.8,26.1
,Noordwijk Binnen,29.6,32.9,24.7
,Noordwijk Buitengebied,33,29.9,35.1
,Noordwijkerhout,27.4,36.1,21.7
,Noordwijkerhout Buitengebied,31.1,32.8,34
,De Zilk,26.3,27.6,24.6
GM0579,Oegstgeest,37.7,25.7,36.2
,Oud Oegstgeest,48.2,14.5,54.5
,Oudenhof,34.1,33.8,24.5
,De Kwaak,44.1,14.3,50.7
,Oegstgeest Noord,33.1,27.9,33
,Oegstgeest West,33.9,23.9,37.5
GM0589,Oudewater,28.3,29.1,28.4
,Hekendorp,28.5,21.3,37.3
,Oudewater,27.6,31.2,25.5
,Papekop,29.5,21,41.3
,Snelrewaard,33.8,14.9,49.7
GM0590,Papendrecht,27.5,32.3,22.1
,Westpolder,26.4,35.3,17.4
,Molenvliet,27.4,25.3,26.6
,Kraaihoek,23.9,46.9,11.9
,Middenpolder,29.4,26.2,20.7
,Wilgendonk,29.2,24.7,30.5
,De Kooy-Oosteind,28.3,24.6,17.1
,Oostpolder,31.3,22.3,40
,Vriesenpolder,.,.,.
,De Noordoever,.,.,.
GM0597,Ridderkerk,26.3,38.3,18.8
,Centrum,24.8,48.7,10.7
,West,23.7,48.8,9.9
,Oost,23.8,42.5,14.8
,Drievliet,26.5,35,20.7
,Het Zand,31.1,19.5,35.2
,Slikkerveer,26.8,33.6,21
,Bolnes,25.5,43.5,15.8
,Rijsoord,31,25.2,32.8
,Oostendam,27.3,28.8,32.1
,Donkersloot,29.4,.,.
,Verenambacht,.,.,.
,Cornelisland,.,.,.
GM0599,Rotterdam,25.2,52.9,13.9
,Rotterdam Centrum,33.5,51.6,15.9
,Delfshaven,21.8,59.6,10.1
,Overschie,26.6,44.1,21.6
,Noord,27,53.9,12.7
,Hillegersberg-Schiebroek,33.4,40.5,27.6
,Kralingen-Crooswijk,27.4,58.4,13.4
,Feijenoord,21.1,60,10.1
,IJsselmonde,21.9,52.7,10.3
,Pernis,26.7,34.1,18.3
,Prins Alexander,27.5,46.4,18.6
,Charlois,20.1,61.3,6.8
,Hoogvliet,24.5,44.5,14.3
,Hoek van Holland,28.1,39,21.8
,Spaanse Polder,.,.,.
,Nieuw Mathenesse,.,.,.
,Waalhaven-Eemhaven,.,.,.
,Vondelingenplaat,.,.,.
,Botlek-Europoort-Maasvlakte,.,.,.
,Rotterdam-Noord-West,.,.,.
,Rivium,.,.,.
,Rozenburg,26.5,37.4,17.9
GM0603,Rijswijk,28.8,41.9,18.9
,Wijk 01,38.5,20.2,38.1
,Wijk 02,29.5,43.3,16.8
,Wijk 03,40.2,31.7,46
,Wijk 04,26.7,50.1,11
,Wijk 05,31.8,40.8,12.4
,Wijk 06,27,51.2,8.3
,Wijk 07,23.2,54.6,8.8
,Wijk 08,29.8,40.4,23.5
,Wijk 09,24.1,46.8,13.2
,Wijk 10,31.9,8.8,50
,Wijk 11,32.4,32.2,33.3
GM0606,Schiedam,25,45.6,15
,Wijk 00 Centrum,26.9,52,12.8
,Wijk 01 Oost,21.9,53.8,7.8
,Wijk 02 Tussen Havens en Grachten,33.6,36.4,20.8
,Wijk 03 West,27.1,40.6,18.2
,Wijk 04 Zuid,23.4,49,9.8
,Wijk 05 Nieuw Mathenesse,.,.,.
,Wijk 06 Nieuwland,20.3,57.2,9.7
,Wijk 07 Groenoord en Kethel,23.1,50.4,11
,Wijk 08 Industriegeb. ten N. v. Rijksweg,27.4,34.5,29
,Wijk 09 Woudhoek/Spaland /Sveaparken,30.1,25.9,29.3
GM0610,Sliedrecht,24.7,37.2,19.1
,Wijk 01 Sliedrecht-West,25.8,21.7,25.4
,Wijk 02 Sliedrecht-Centrum,24.1,42,14.9
,Wijk 03 Sliedrecht-Oost,24.8,40.6,20.3
,Wijk 04 Sliedrecht-Noord,24.9,.,.
GM0613,Albrandswaard,32.1,26,34.2
,Wijk 01 Poortugaal-Noord,35.9,17.6,45.5
,Wijk 02 Rhoon-Noord,32.8,29.4,24.9
,Wijk 03 Poortugaal-Zuid,31,28.5,31.2
,Wijk 04 Rhoon-Zuid,32.4,30,28.3
,Wijk 05 Buitengebied Albrandswaard,36,.,.
,Wijk 06 Portland,31.2,21.8,41.7
,Wijk 07 Rotterdam-Albrandswaard,.,.,.
GM0614,Westvoorne,34.2,27.8,32.3
,Wijk 00 Rockanje,32.8,29.3,28.2
,Wijk 01 Oostvoorne,35.4,26.7,35.6
GM0622,Vlaardingen,25.5,45,15.7
,Centrum,24.3,46.3,11.3
,Westwijk,22.1,51.3,10.5
,Vettenoordse Polder,24.4,68.8,4.7
,Oostwijk,28.6,40.1,21.3
,Vlaardinger Ambacht,26.1,35.7,22.2
,Holy Zuid,24.8,54.4,12.2
,Holy Noord,28.2,37.9,20.9
,Broekpolder,.,.,.
GM0626,Voorschoten,33.1,29.7,31.2
,Wijk 00,33.1,29.7,31.2
GM0627,Waddinxveen,26.9,31,23.8
,Wijk 01,24.4,40.4,17.6
,Wijk 02,30,20.7,32.4
,Wijk 03,23.7,37,15.8
,Wijk 04,28.3,27.5,27.1
GM0629,Wassenaar,46.5,32.4,35.7
,Wijk 00 Zuidwestelijk deel der gemeente,76.2,21.8,56.4
,Wijk 01 Noordoostelijk deel der gemeente,36.1,35.8,29
GM0632,Woerden,29.5,29.5,28.7
