,,Gemiddeld,40% huishoudens,20% huishoudens
,,persoonlijk ,met laagste,met hoogste
,,inkomen,besteedbaar,besteedbaar
,,per inwoner,inkomen,inkomen
,,,,
,Regionaam,x 1000 euro,%,
,Anerveen,30.8,.,.
,Anevelde,.,.,.
,Balkbrug,24.9,29.3,22.9
,Bergentheim,21.5,29.4,21.1
,Brucht,24.7,16.8,31.8
,Collendoorn,24.6,22.4,35.2
,De Krim,21.6,35.3,16.4
,Dedemsvaart,23.2,35,17.5
,Den Velde,25.7,.,.
,Diffelen,26,.,.
,Gramsbergen,23.5,35.4,19
,Heemserveen,25.6,24.3,29.1
,Holtheme,26.6,.,.
,Holthone,26.4,.,.
,Hoogenweg,25.4,20,32.9
,Kloosterhaar,21.5,34.1,16.9
,Loozen,29,.,.
,Lutten,23.4,24.9,20.4
,Marienberg,20.3,23.6,20.8
,Radewijk,25.6,21.8,34.1
,Rheeze,24.3,.,.
,Rheezerveen,22.5,30.1,24.5
,Schuinesloot,23.6,22.9,26.9
,Sibculo,20.8,29.6,21.7
,Slagharen,22.6,37.1,16.7
,Venebrugge,25.5,.,.
,Hardenberg,23.7,37.2,17
,Bruchterveld,23.4,23.4,23.4
GM0163,Hellendoorn,24.6,32.3,19.9
,Wijk 01 Hellendoorn,24.5,30.7,20.1
,Wijk 02 Nijverdal Noord,28,22.6,25.1
,Wijk 03 Nijverdal West,25.6,40.9,15.7
,Wijk 04 Nijverdal Oost,22.4,38.6,12.5
,Wijk 05 Buitengebied,26.4,22.9,36
,Wijk 06 Kruidenwijk,24.9,24.3,23.9
,Wijk 07 Haarle,23.2,32.3,17
,Wijk 08 Daarle,22,20.2,16.9
,Wijk 09 Daarlerveen,22.3,32.6,15.2
GM0164,Hengelo,25,43.2,15.6
,Wijk 00 Binnenstad,28.4,53.4,11.4
,Wijk 01 Hengelose Es,23.8,46.4,13.8
,Wijk 02 Noord,21.4,54.3,9.2
,Wijk 03 Hasseler Es,24.5,31.4,17.2
,Wijk 04 Groot Driene,23.3,50.1,12.1
,Wijk 05 Berflo Es,22.7,55.7,8
,Wijk 06 Wilderinkshoek,25.7,46.4,12.7
,Wijk 07 Woolde,26.9,41,16
,Wijk 08 Slangenbeek,29.3,18.5,35.6
,Wijk 09 Buitengebied,29.5,25,38.5
GM0166,Kampen,23.3,36.8,18.1
,Kampen,23.3,40.4,15.3
,Reeve,.,.,.
,IJsselmuiden,23.2,28.5,24
,Zalk,23.7,22.2,30.7
,Wilsum,23.2,26.8,22.1
,Grafhorst,21.9,22.5,29.2
,Kamperveen,22.6,19,35.1
,s-Heerenbroek,24.4,24.5,33.8
,Mastenbroek,28.5,.,.
GM0168,Losser,24.2,35.2,19.5
,Wijk 00 Losser,24.3,35.9,17.5
,Wijk 01 Glane,26.7,29.4,21.1
,Wijk 02 Overdinkel,21.4,43.8,13.8
,Wijk 03 De Lutte,25.9,26.3,29.6
,Wijk 04 Beuningen,25.5,20.6,36.5
GM0171,Noordoostpolder,24,35.2,18.8
,Wijk 01 Emmeloord,23.2,39.7,15.2
,Wijk 02 Bant,26.2,24.7,25
,Wijk 03 Luttelgeest,25.7,26.8,26.3
,Wijk 04 Marknesse,24.9,32.1,20.9
,Wijk 05 Kraggenburg,26.9,26.2,25.6
,Wijk 06 Ens,24.1,30.3,22.7
,Wijk 07 Nagele,25.4,35.7,22.6
,Wijk 08 Tollebeek,23.1,22.4,26.8
,Wijk 09 Espel,26.7,27,24.8
,Wijk 10 Creil,26,29.4,23.2
,Wijk 11 Rutten,24.8,27.6,25.8
,Wijk 12 Schokland,.,.,.
GM0173,Oldenzaal,25.4,37.2,19
,Wijk 01 Binnenstad,27.7,62.4,8.5
,Wijk 02 Het Inslag-De Kleies,26.5,49.8,15.7
,Wijk 03 Glinde-Hooiland,23.1,51,14.2
,Wijk 04 De Meijbree,27.6,37.8,24.5
,Wijk 05 Haerbroek-Scholtenhoek,33.2,23.4,33.6
,Wijk 06 Zuid-Berghuizen,21.4,49.6,11.2
,Wijk 07 Hanzepoort,.,.,.
,Wijk 08 Eekte-Hazewinkel,25.3,.,.
,Wijk 09 Jufferbeek,27,.,.
,Wijk 10 Het Hulsbeek,29.4,.,.
,Wijk 11 De Thij,22.3,34,13.7
,Wijk 12 De Graven Es,28.3,14.6,32.5
,Wijk 13 De Essen,25.9,20.3,23.5
,Wijk 14 Bekspring,25.1,.,.
GM0175,Ommen,25.1,32.5,21
,Ommen,25.1,35,18.5
,Arrien,27.4,15.8,31.7
,Beerze,27.4,.,.
,Beerzerveld,22.3,24.2,23.4
,Dalmsholte,23.8,19,37.9
,Giethmen,25.5,.,.
,Lemele,24.8,26.1,27.5
,Stegeren,26.5,38,20.8
,Vilsteren,24.1,26.7,20.5
,Vinkenbuurt,30.7,26.3,32.5
,Witharen,25.8,24.8,29.6
GM0177,Raalte,25.2,32.6,21.6
,Raalte,24.8,36.3,18.6
,Luttenberg,25,28.4,26.3
,Mariënheem,25.2,24.4,25.8
,Nieuw Heeten,24.2,28.9,24.4
,Heeten,25.1,28.9,27.6
,Broekland,28,21.7,33.2
,Heino,25.6,30.2,21
,Lierderholthuis,28.4,24.9,29.5
,Laag Zuthem,28.3,21.5,39.1
GM0180,Staphorst,22,27,25.8
,Wijk 00 Staphorst (kern),21,29.3,23.5
,Wijk 01 Rouveen (kern),21.4,22.2,26.6
,Wijk 02 Rouveen (buitengebied),22.7,18.2,42.1
,Wijk 03 Staphorst (buitengebied),21.8,20,38.2
,Wijk 04 IJhorst,27.4,33.3,21
,Wijk 05 Punthorst,24.4,22,32.4
,Wijk 06 Lankhorst,24.6,22.4,28.4
,Wijk 07 Klooster,.,.,.
GM0183,Tubbergen,24.9,28.6,28.8
,Wijk 00 Tubbergen,25.1,33.5,25.7
,Wijk 01 Albergen,25.5,25.5,31
,Wijk 02 Harbrinkhoek,25.2,22.4,30.3
,Wijk 03 Geesteren,24.9,28.5,29.4
,Wijk 04 Langeveen,23,29.7,26.3
,Wijk 05 Vasse,24.7,25.6,30.3
,Wijk 06 Reutum,24.3,28,28
,Wijk 07 Fleringen,24.9,20.4,40.5
GM0184,Urk,20.4,23.6,27.4
,Wijk 00 Urk,20.4,23.6,27.4
GM0189,Wierden,25.7,27.7,26.9
,Wijk 00 Wierden (kern),25.1,29.9,22.3
,Wijk 01 Landelijk gebied Wierden,30.3,18.4,43.4
,Wijk 02 Hooge-Hexel,24.6,26.1,36.7
,Wijk 03 Enter (kern),25.4,28.3,26.2
,Wijk 04 Landelijk gebied Enter,27.3,18.6,42
,Wijk 05 Rectum - Notter - Zuna,27.3,19,42.8
GM0193,Zwolle,26.4,42,18.3
,Wijk 10 Binnenstad,35.1,54.7,14.5
,Wijk 11 Diezerpoort,23.1,66.4,6.2
,Wijk 12 Wipstrik,29.8,41.1,22.1
,Wijk 13 Assendorp,27,52.4,13.4
,Wijk 14 Kamperpoort-Veerallee,28.5,56.3,19.1
,Wijk 20 Poort van Zwolle,27.4,35.2,28.9
,Wijk 21 Westenholte,24.1,30.8,20.5
,Wijk 22 Stadshagen,26.6,22.5,28.1
,Wijk 30 Holtenbroek,20.9,60.3,6.3
,Wijk 31 Aa-landen,23.9,43.5,12.6
,Wijk 32 Vechtlanden,39,16.5,50.5
,Wijk 40 Berkum,28.8,31.4,26.8
,Wijk 41 Marsweteringlanden,27.2,29.8,32.6
,Wijk 50 Schelle,29.2,27.3,29.1
,Wijk 51 Ittersum,25.6,34.4,18.9
,Wijk 52 Soestweteringlanden,27.7,19.9,34.6
GM0197,Aalten,23.8,34.7,17.4
,Wijk 01 Buitengebied Aalten,24.6,25.7,30
,Wijk 02 Bredevoort,24.7,33.6,17.5
,Wijk 03 Aalten Kern,23.7,35.6,15.4
,Wijk 04 Dinxperlo,23.4,37.4,15.1
GM0200,Apeldoorn,26.7,38.1,19.7
,Centrum,28.2,58.8,7.3
,West,30.2,37.5,23.2
,Zuidwest,27.7,31.6,22.4
,Zuid,22.9,49.6,11.1
,Zuidoost,23.9,36.3,14.4
,Oost,29.1,24.7,29.5
,Noordoost,23.7,38.3,17.1
,Noord,30.3,37.9,22.6
,Uddel en omgeving,24,30.6,33.1
,Hoog Soeren en Radio Kootwijk,36.6,19.5,36.1
,Hoenderloo en omgeving,30.2,36.7,26.5
,Loenen en omgeving,29,35,25.2
,Beekbergen en omgeving,29.8,41.7,24.2
,Lieren en omgeving,27.3,21.6,34.8
,Klarenbeek en omgeving,27.1,28.5,31.3
,Wenum Wiesel Beemte,29.4,26,37.3
GM0202,Arnhem,25.4,51.2,14.3
,Centrum,28.1,68.2,6.6
,Spijkerkwartier,26.7,71.5,7.4
,Arnhemse Broek,20.3,67.2,6.2
,Presikhaaf-West,17.9,66.9,5.3
,Presikhaaf-Oost,21.4,61.7,5
,St. Marten/Sonsbeek,30,48.3,16.4
,Klarendal,22.9,64.1,6.4
,Velperweg e.o.,32.6,36.1,27.7
,Alteveer/Cranevelt,32.2,35.7,26.3
,Geitenkamp,18.7,73.6,2.8
,Monnikenhuizen,28.3,45.5,19.6
,Burgemeesterswijk/Hoogkamp,39.3,32.2,36.5
,Schaarsbergen,32.8,36.4,34
,Heijenoord/Lombok,30.1,45.3,17.7
,Klingelbeek e.o.,36,26.6,34.4
,Malburgen-West,22.1,51.3,9.8
,Malburgen-Oost (Noord),22.5,50.4,10.6
,Malburgen-Oost (Zuid),16.6,66.5,4.4
,Vredenburg/Kronenburg,23.1,59.1,8.4
,Elden,26.9,35,24.5
,Elderveld,22.7,46.7,11.7
,De Laar,24,39.8,13.1
,Rijkerswoerd,25.8,35.5,20.5
,Schuytgraaf,28,21.3,33.3
GM0203,Barneveld,24.6,29.8,25.9
,Wijk 54 Barneveld,23.8,31.9,22.6
,Wijk 55 Voorthuizen,26.1,29.3,26.6
,Wijk 56 Kootwijkerbroek,23.5,24,37.4
,Wijk 57 Garderen,27.3,26.1,31.7
,Wijk 58 Terschuur,26.7,25.2,33.8
,Wijk 59 Stroe,25.8,21.3,33.8
,Wijk 60 Zwartebroek,26.8,22,34.7
,Wijk 61 De Glind,24.7,32,29.9
,Wijk 62 Kootwijk,35.2,21.8,43.7
,Wijk 63 Achterveld,30.2,.,.
GM0209,Beuningen,27.9,30.5,24.5
,Beuningen,28.5,30.5,25
,Ewijk,26.6,31.3,23.9
,Weurt,25.7,30.9,19.2
,Winssen,27.9,28.1,28.1
GM0213,Brummen,26.5,33.1,21.1
,Wijk 01 Empe,29.6,19.5,35.1
,Wijk 02 Tonden,30.4,19.5,32.8
,Wijk 03 Brummen,25.8,36.6,19.1
,Wijk 04 Leuvenheim,27.6,23.5,25.5
,Wijk 05 Hall,30.4,21.4,35.9
,Wijk 06 Eerbeek,26.4,32.7,20.1
GM0214,Buren,28.3,27.7,28.1
,Wijk 00 Buren,30.6,26.8,30.3
,Wijk 01 Beusichem,30.3,23,32.7
,Wijk 02 Zoelen,29.5,23.1,32.5
,Wijk 03 Lienden,26.5,27.5,26.7
,Wijk 04 Ingen,27.2,31.2,25.1
,Wijk 05 Maurik,27,32.5,23.4
,Wijk 06 Ravenswaaij,30.7,22.7,41.5
GM0216,Culemborg,27.5,33.5,22.9
,Culemborg Oost,26.2,37.3,18.6
,Culemborg West,29.3,27.3,29.8
GM0221,Doesburg,24.7,42.7,15.1
,Wijk 01,24.7,42.7,15.1
GM0222,Doetinchem,25,38.9,17.5
,Wijk 01 Doetinchem Centrum,28.3,50.6,14.1
,Wijk 02,21.4,60.3,7.3
,Wijk 03,24,39.3,14.6
,Wijk 04,26.8,30.9,23.9
,Wijk 05,28.4,46.4,13.3
,Wijk 06,25.4,30.5,18.6
,Wijk 07,26.7,27.3,23.5
,Wijk 08,30.1,25.3,26.1
,Wijk 09,22.6,43.4,16.6
,Wijk 11 Buitengebied Doetinchem,23.9,36.6,16.4
,Wijk 31 Wehl,25.7,32,22.9
