Municipality,Nationaliteit,2020,2022
Rijswijk,Totaal niet-Nederlandse nationaliteit,5240,5588
Rijswijk,Afrika,390,394
Rijswijk,Amerika,256,283
Rijswijk,Azië,1247,1200
Rijswijk,Europa (ex. NL),3143,3584
Rijswijk,Oceanië,13,11
Rotterdam,Totaal,651157,655468
Rotterdam,Totaal niet-Nederlandse nationaliteit,81077,85899
Rotterdam,Afrika,8068,7675
Rotterdam,Amerika,4300,4736
Rotterdam,Azië,13317,13237
Rotterdam,Europa (ex. NL),52117,57766
Rotterdam,Oceanië,203,145
Schiedam,Totaal,78730,79644
Schiedam,Totaal niet-Nederlandse nationaliteit,10117,10837
Schiedam,Afrika,601,513
Schiedam,Amerika,330,355
Schiedam,Azië,1196,1170
Schiedam,Europa (ex. NL),7702,8577
Schiedam,Oceanië,16,18
Sliedrecht,Totaal,25220,25897
Sliedrecht,Totaal niet-Nederlandse nationaliteit,811,836
Sliedrecht,Afrika,88,61
Sliedrecht,Amerika,22,21
Sliedrecht,Azië,173,182
Sliedrecht,Europa (ex. NL),454,521
Sliedrecht,Oceanië,1,0
Teylingen,Totaal,37440,37942
Teylingen,Totaal niet-Nederlandse nationaliteit,1940,1975
Teylingen,Afrika,139,117
Teylingen,Amerika,71,74
Teylingen,Azië,324,293
Teylingen,Europa (ex. NL),1333,1433
Teylingen,Oceanië,14,4
Vlaardingen,Totaal,73397,74143
Vlaardingen,Totaal niet-Nederlandse nationaliteit,5997,6510
Vlaardingen,Afrika,428,394
Vlaardingen,Amerika,141,130
Vlaardingen,Azië,627,606
Vlaardingen,Europa (ex. NL),4592,5206
Vlaardingen,Oceanië,5,8
Voorschoten,Totaal,25596,25627
Voorschoten,Totaal niet-Nederlandse nationaliteit,1691,1641
Voorschoten,Afrika,103,106
Voorschoten,Amerika,87,90
Voorschoten,Azië,337,289
Voorschoten,Europa (ex. NL),1113,1118
Voorschoten,Oceanië,12,7
Waddinxveen,Totaal,29291,31342
Waddinxveen,Totaal niet-Nederlandse nationaliteit,1310,1484
Waddinxveen,Afrika,137,129
Waddinxveen,Amerika,27,40
Waddinxveen,Azië,199,205
Waddinxveen,Europa (ex. NL),899,1069
Waddinxveen,Oceanië,0,2
Wassenaar,Totaal,26305,27115
Wassenaar,Totaal niet-Nederlandse nationaliteit,4009,4366
Wassenaar,Afrika,169,260
Wassenaar,Amerika,661,586
Wassenaar,Azië,591,677
Wassenaar,Europa (ex. NL),2494,2755
Wassenaar,Oceanië,47,56
Westland,Totaal,110375,112448
Westland,Totaal niet-Nederlandse nationaliteit,7224,7388
Westland,Afrika,457,419
Westland,Amerika,99,93
Westland,Azië,729,656
Westland,Europa (ex. NL),5753,6084
Westland,Oceanië,11,9
Westvoorne,Totaal,14731,14960
Westvoorne,Totaal niet-Nederlandse nationaliteit,387,378
Westvoorne,Afrika,17,15
Westvoorne,Amerika,16,14
Westvoorne,Azië,109,95
Westvoorne,Europa (ex. NL),230,246
Westvoorne,Oceanië,1,1
Zoetermeer,Totaal,125285,125767
Zoetermeer,Totaal niet-Nederlandse nationaliteit,5462,5562
Zoetermeer,Afrika,583,588
Zoetermeer,Amerika,270,289
Zoetermeer,Azië,1577,1430
Zoetermeer,Europa (ex. NL),2775,3064
Zoetermeer,Oceanië,11,8
Zoeterwoude,Totaal,8605,9302
Zoeterwoude,Totaal niet-Nederlandse nationaliteit,246,244
Zoeterwoude,Afrika,18,14
Zoeterwoude,Amerika,10,14
Zoeterwoude,Azië,74,35
Zoeterwoude,Europa (ex. NL),126,160
Zoeterwoude,Oceanië,0,0
Zuidplas,Totaal,43885,45794
Zuidplas,Totaal niet-Nederlandse nationaliteit,1501,1558
Zuidplas,Afrika,189,173
Zuidplas,Amerika,54,55
Zuidplas,Azië,316,285
Zuidplas,Europa (ex. NL),830,960
Zuidplas,Oceanië,4,4
Zwijndrecht,Totaal,44737,44789
Zwijndrecht,Totaal niet-Nederlandse nationaliteit,1924,1981
Zwijndrecht,Afrika,247,227
Zwijndrecht,Amerika,46,48
Zwijndrecht,Azië,439,382
Zwijndrecht,Europa (ex. NL),1057,1233
Zwijndrecht,Oceanië,6,6
